name,hall_a_rr,hall_b_rr,hall_c_rr
RBM 3,179.2,132,88.91
RBM 2,199.03,196,203.2
RBM 1,247.53,286,315.74
RBM 4,398.027,388.8,362.134
RBM 5,836.75,846.96,829.94
RBM 6,672.58,688.47,701.79
b,1.107,0.99227,1.181
tr,286.5,286.5,382
td,36.5,18.3,33.51
ri,56.4,31.8,48.62
